,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,0
21,2016-01-03,0
22,2016-01-10,0
23,2016-01-17,0
24,2016-01-24,0
25,2016-01-31,0
26,2016-02-07,0
27,2016-02-14,0
28,2016-02-21,0
29,2016-02-28,0
30,2016-03-06,0
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,0
34,2016-04-03,0
35,2016-04-10,0
36,2016-04-17,0
37,2016-04-24,0
38,2016-05-01,0
39,2016-05-08,0
40,2016-05-15,0
41,2016-05-22,0
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,10
46,2016-06-26,0
47,2016-07-03,0
48,2016-07-10,0
49,2016-07-17,0
50,2016-07-24,0
51,2016-07-31,0
52,2016-08-07,0
53,2016-08-14,0
54,2016-08-21,0
55,2016-08-28,0
56,2016-09-04,0
57,2016-09-11,0
58,2016-09-18,0
59,2016-09-25,0
60,2016-10-02,0
61,2016-10-09,10
62,2016-10-16,0
63,2016-10-23,0
64,2016-10-30,0
65,2016-11-06,0
66,2016-11-13,0
67,2016-11-20,10
68,2016-11-27,0
69,2016-12-04,0
70,2016-12-11,0
71,2016-12-18,0
72,2016-12-25,0
73,2017-01-01,0
74,2017-01-08,0
75,2017-01-15,0
76,2017-01-22,0
77,2017-01-29,0
78,2017-02-05,0
79,2017-02-12,0
80,2017-02-19,0
81,2017-02-26,0
82,2017-03-05,0
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,0
86,2017-04-02,0
87,2017-04-09,28
88,2017-04-16,9
89,2017-04-23,0
90,2017-04-30,0
91,2017-05-07,0
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,0
95,2017-06-04,0
96,2017-06-11,0
97,2017-06-18,0
98,2017-06-25,0
99,2017-07-02,0
100,2017-07-09,0
101,2017-07-16,0
102,2017-07-23,0
103,2017-07-30,0
104,2017-08-06,0
105,2017-08-13,0
106,2017-08-20,0
107,2017-08-27,0
108,2017-09-03,0
109,2017-09-10,9
110,2017-09-17,0
111,2017-09-24,0
112,2017-10-01,0
113,2017-10-08,0
114,2017-10-15,9
115,2017-10-22,0
116,2017-10-29,0
117,2017-11-05,9
118,2017-11-12,0
119,2017-11-19,0
120,2017-11-26,0
121,2017-12-03,0
122,2017-12-10,0
123,2017-12-17,0
124,2017-12-24,0
125,2017-12-31,0
126,2018-01-07,0
127,2018-01-14,0
128,2018-01-21,0
129,2018-01-28,0
130,2018-02-04,0
131,2018-02-11,0
132,2018-02-18,0
133,2018-02-25,0
134,2018-03-04,0
135,2018-03-11,0
136,2018-03-18,0
137,2018-03-25,0
138,2018-04-01,0
139,2018-04-08,0
140,2018-04-15,0
141,2018-04-22,8
142,2018-04-29,9
143,2018-05-06,0
144,2018-05-13,0
145,2018-05-20,0
146,2018-05-27,0
147,2018-06-03,0
148,2018-06-10,8
149,2018-06-17,0
150,2018-06-24,0
151,2018-07-01,0
152,2018-07-08,0
153,2018-07-15,0
154,2018-07-22,0
155,2018-07-29,0
156,2018-08-05,0
157,2018-08-12,0
158,2018-08-19,0
159,2018-08-26,0
160,2018-09-02,0
161,2018-09-09,8
162,2018-09-16,0
163,2018-09-23,17
164,2018-09-30,8
165,2018-10-07,0
166,2018-10-14,8
167,2018-10-21,0
168,2018-10-28,8
169,2018-11-04,0
170,2018-11-11,0
171,2018-11-18,0
172,2018-11-25,0
173,2018-12-02,0
174,2018-12-09,0
175,2018-12-16,0
176,2018-12-23,0
177,2018-12-30,0
178,2019-01-06,0
179,2019-01-13,0
180,2019-01-20,0
181,2019-01-27,8
182,2019-02-03,8
183,2019-02-10,0
184,2019-02-17,0
185,2019-02-24,0
186,2019-03-03,0
187,2019-03-10,0
188,2019-03-17,0
189,2019-03-24,8
190,2019-03-31,0
191,2019-04-07,0
192,2019-04-14,8
193,2019-04-21,8
194,2019-04-28,0
195,2019-05-05,0
196,2019-05-12,8
197,2019-05-19,16
198,2019-05-26,8
199,2019-06-02,8
200,2019-06-09,12
201,2019-06-16,8
202,2019-06-23,24
203,2019-06-30,8
204,2019-07-07,20
205,2019-07-14,21
206,2019-07-21,17
207,2019-07-28,29
208,2019-08-04,21
209,2019-08-11,8
210,2019-08-18,21
211,2019-08-25,16
212,2019-09-01,20
213,2019-09-08,0
214,2019-09-15,20
215,2019-09-22,19
216,2019-09-29,23
217,2019-10-06,35
218,2019-10-13,46
219,2019-10-20,42
220,2019-10-27,35
221,2019-11-03,23
222,2019-11-10,23
223,2019-11-17,8
224,2019-11-24,22
225,2019-12-01,19
226,2019-12-08,12
227,2019-12-15,19
228,2019-12-22,47
229,2019-12-29,12
